movement_id,date_id,vessel_key,vessel_id,vessel_category,terminal_id,container_count,move_duration,route_geometry
637,7/28/2024,Cargo_833,833,Cargo,197,415,211.682852,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
266,3/18/2022,Passenger_847,84,Passenger,490,342,832.5199292,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
601,2/15/2022,Tanker_65,65,Tanker,99,115,613.9921161,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
274,12/8/2023,Tanker_179,179,Tanker,197,55,69.30211736,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
118,6/25/2024,Passenger_49,49,Passenger,490,695,862.7093489,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
254,11/3/2024,Tanker_174,174,Tanker,395,968,55.75524044,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
275,11/26/2024,Tanker_304,304,Tanker,957,325,28.7706188,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
135,2/1/2022,Passenger_217,217,Passenger,374,844,833.7471775,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
23,1/18/2024,Tanker_640,640,Tanker,529,602,13.02370656,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
944,6/8/2022,Passenger_892,892,Passenger,705,304,88.43409431,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
513,11/2/2022,Container_926,92,Container,99,567,16.9530017,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
402,3/23/2023,Passenger_120,120,Passenger,197,129,880.2787425,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
930,11/16/2022,Container_297,297,Container,930,338,44.69548847,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
224,7/15/2023,Container_180,180,Container,350,735,372.6798145,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
403,11/26/2023,Tanker_705,705,Tanker,627,852,216.9923699,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
